item_id,item_name,description,category,location,status
56,wallet,red fabric wallet with stickers near library,wallet,library,lost
57,laptop,brown rubber laptop slightly damaged near classroom,electronics,classroom,found
58,umbrella,umbrella possibly left in classroom,accessory,classroom,found
59,notebook,leather notebook with two pockets around computer lab,stationery,computer lab,found
60,wallet,wallet located in computer lab area,wallet,computer lab,lost
61,laptop,blue laptop spotted at library,electronics,library,lost
62,pen drive,blue plastic pen drive with scratches near parking area,electronics,parking area,lost
63,watch,found watch with with zipper in parking area,accessory,parking area,found
64,calculator,found calculator with in good condition in auditorium,electronics,auditorium,found
65,keys,lost purple keys close to library,accessory,library,found
66,phone,phone of silver color found in bus stop,phone,bus stop,lost
67,laptop,black metal laptop seen around classroom,electronics,classroom,found
68,charger,plastic charger in good condition around cafeteria,electronics,cafeteria,found
69,keys,found keys with with logo in canteen,accessory,canteen,found
70,calculator,silver calculator spotted at playground,electronics,playground,lost
71,wallet,metal wallet with stickers around classroom,wallet,classroom,lost
72,earbuds,silver metal earbuds seen around playground,electronics,playground,found
73,charger,blue charger spotted at computer lab,electronics,computer lab,lost
74,backpack,green plastic backpack seen around canteen,bag,canteen,lost
75,watch,found watch with in good condition in cafeteria,accessory,cafeteria,found
76,charger,white colored charger near playground,electronics,playground,found
77,wallet,white wallet spotted at bus stop,wallet,bus stop,lost
78,tablet,found tablet with in good condition in playground,electronics,playground,lost
79,pen drive,found pen drive with with logo in bus stop,electronics,bus stop,found
80,watch,watch of black color found in classroom,accessory,classroom,found
81,charger,charger possibly left in library,electronics,library,found
82,handbag,red handbag spotted at computer lab,bag,computer lab,lost
83,headphones,red colored headphones near auditorium,electronics,auditorium,lost
84,keys,purple keys spotted at parking area,accessory,parking area,lost
85,tablet,brown tablet spotted at playground,electronics,playground,found
86,water bottle,yellow water bottle spotted at canteen,accessory,canteen,found
87,charger,red charger spotted at parking area,electronics,parking area,found
88,watch,lost brown watch close to computer lab,accessory,computer lab,lost
89,phone,yellow phone spotted at corridor,phone,corridor,lost
90,earbuds,yellow leather earbuds with zipper near computer lab,electronics,computer lab,lost
91,glasses,glasses possibly left in cafeteria,accessory,cafeteria,found
92,earbuds,earbuds possibly left in playground,electronics,playground,lost
93,umbrella,umbrella located in library area,accessory,library,found
94,charger,green colored charger near playground,electronics,playground,found
95,headphones,grey plastic headphones slightly damaged near canteen,electronics,canteen,found
96,phone,grey colored phone near computer lab,phone,computer lab,found
97,id card,id card of purple color found in cafeteria,document,cafeteria,lost
98,glasses,lost green glasses close to corridor,accessory,corridor,found
99,watch,black metal watch with scratches near playground,accessory,playground,lost
100,notebook,fabric notebook with logo around canteen,stationery,canteen,lost
101,keys,green metal keys in good condition near auditorium,accessory,auditorium,lost
102,wallet,wallet of brown color found in canteen,wallet,canteen,found
103,keys,fabric keys with stickers around auditorium,accessory,auditorium,found
104,calculator,calculator possibly left in canteen,electronics,canteen,lost
105,keys,grey keys spotted at playground,accessory,playground,found
106,laptop,laptop of grey color found in library,electronics,library,found
107,notebook,grey colored notebook near playground,stationery,playground,found
108,glasses,leather glasses with logo around computer lab,accessory,computer lab,found
109,charger,blue colored charger near corridor,electronics,corridor,found
110,notebook,lost silver notebook close to corridor,stationery,corridor,lost
111,handbag,blue colored handbag near classroom,bag,classroom,lost
112,handbag,blue rubber handbag seen around classroom,bag,classroom,lost
113,umbrella,umbrella located in library area,accessory,library,lost
114,umbrella,black umbrella spotted at auditorium,accessory,auditorium,lost
115,keys,keys possibly left in canteen,accessory,canteen,found
116,wallet,red wallet spotted at parking area,wallet,parking area,lost
117,id card,purple id card spotted at bus stop,document,bus stop,found
118,backpack,fabric backpack with logo around classroom,bag,classroom,lost
119,id card,id card of purple color found in playground,document,playground,lost
120,water bottle,brown metal water bottle in good condition near bus stop,accessory,bus stop,found
121,handbag,silver colored handbag near bus stop,bag,bus stop,lost
122,textbook,blue leather textbook slightly damaged near cafeteria,book,cafeteria,found
123,notebook,green leather notebook seen around cafeteria,stationery,cafeteria,lost
124,laptop,found laptop with slightly damaged in playground,electronics,playground,found
125,wallet,wallet of black color found in computer lab,wallet,computer lab,found
126,glasses,glasses possibly left in classroom,accessory,classroom,lost
127,glasses,glasses located in cafeteria area,accessory,cafeteria,lost
128,id card,lost purple id card close to parking area,document,parking area,lost
129,id card,plastic id card with zipper around bus stop,document,bus stop,lost
130,wallet,lost grey wallet close to corridor,wallet,corridor,found
131,notebook,notebook possibly left in auditorium,stationery,auditorium,lost
132,power bank,power bank of white color found in canteen,electronics,canteen,found
133,pen drive,white colored pen drive near corridor,electronics,corridor,found
134,pen drive,pen drive located in auditorium area,electronics,auditorium,found
135,backpack,plastic backpack slightly damaged around parking area,bag,parking area,lost
136,charger,lost silver charger close to corridor,electronics,corridor,found
137,calculator,purple plastic calculator in good condition near computer lab,electronics,computer lab,found
138,calculator,calculator possibly left in auditorium,electronics,auditorium,lost
139,textbook,grey leather textbook in good condition near computer lab,book,computer lab,found
140,charger,black rubber charger seen around parking area,electronics,parking area,found
141,wallet,wallet located in cafeteria area,wallet,cafeteria,lost
142,pen drive,red colored pen drive near library,electronics,library,found
143,pen drive,found pen drive with with logo in canteen,electronics,canteen,found
144,backpack,found backpack with with zipper in classroom,bag,classroom,lost
145,pen drive,green leather pen drive with name written near classroom,electronics,classroom,found
146,power bank,power bank possibly left in library,electronics,library,found
147,tablet,tablet possibly left in playground,electronics,playground,lost
148,umbrella,white rubber umbrella with zipper near corridor,accessory,corridor,lost
149,charger,black metal charger with logo near classroom,electronics,classroom,found
150,tablet,fabric tablet with zipper around playground,electronics,playground,found
151,backpack,backpack of brown color found in library,bag,library,found
152,umbrella,green leather umbrella with stickers near corridor,accessory,corridor,found
153,phone,purple phone spotted at canteen,phone,canteen,lost
154,watch,yellow leather watch seen around computer lab,accessory,computer lab,found
155,laptop,laptop located in playground area,electronics,playground,lost
156,water bottle,green water bottle spotted at classroom,accessory,classroom,found
157,id card,fabric id card with stickers around parking area,document,parking area,lost
158,id card,yellow rubber id card with stickers near library,document,library,found
159,watch,lost silver watch close to corridor,accessory,corridor,found
160,earbuds,earbuds possibly left in bus stop,electronics,bus stop,found
161,laptop,laptop possibly left in library,electronics,library,found
162,backpack,fabric backpack slightly damaged around library,bag,library,lost
163,watch,silver rubber watch seen around library,accessory,library,lost
164,tablet,lost silver tablet close to cafeteria,electronics,cafeteria,found
165,wallet,wallet possibly left in playground,wallet,playground,lost
166,water bottle,found water bottle with with zipper in classroom,accessory,classroom,lost
167,backpack,red fabric backpack seen around corridor,bag,corridor,lost
168,earbuds,lost white earbuds close to library,electronics,library,lost
169,keys,keys of silver color found in classroom,accessory,classroom,lost
170,textbook,found textbook with with two pockets in parking area,book,parking area,found
171,earbuds,grey rubber earbuds seen around auditorium,electronics,auditorium,found
172,pen drive,pen drive of silver color found in cafeteria,electronics,cafeteria,found
173,calculator,green calculator spotted at canteen,electronics,canteen,found
174,wallet,leather wallet slightly damaged around playground,wallet,playground,found
175,earbuds,lost blue earbuds close to auditorium,electronics,auditorium,lost
176,notebook,lost silver notebook close to auditorium,stationery,auditorium,lost
177,notebook,black colored notebook near auditorium,stationery,auditorium,lost
178,laptop,laptop of yellow color found in cafeteria,electronics,cafeteria,found
179,backpack,backpack located in computer lab area,bag,computer lab,lost
180,earbuds,earbuds of brown color found in canteen,electronics,canteen,found
181,id card,id card located in library area,document,library,found
182,power bank,power bank of black color found in bus stop,electronics,bus stop,found
183,textbook,textbook located in cafeteria area,book,cafeteria,lost
184,headphones,brown plastic headphones seen around corridor,electronics,corridor,found
185,handbag,blue colored handbag near auditorium,bag,auditorium,found
186,headphones,lost purple headphones close to parking area,electronics,parking area,lost
187,handbag,green fabric handbag seen around auditorium,bag,auditorium,lost
188,power bank,found power bank with with name written in parking area,electronics,parking area,found
189,id card,lost brown id card close to canteen,document,canteen,lost
190,backpack,lost silver backpack close to computer lab,bag,computer lab,found
191,backpack,silver plastic backpack seen around cafeteria,bag,cafeteria,found
192,pen drive,lost purple pen drive close to parking area,electronics,parking area,found
193,umbrella,umbrella of grey color found in computer lab,accessory,computer lab,lost
194,keys,keys located in library area,accessory,library,lost
195,textbook,textbook located in playground area,book,playground,lost
196,phone,phone located in computer lab area,phone,computer lab,lost
197,pen drive,found pen drive with with two pockets in corridor,electronics,corridor,lost
198,glasses,silver glasses spotted at parking area,accessory,parking area,lost
199,backpack,lost grey backpack close to bus stop,bag,bus stop,lost
200,earbuds,leather earbuds with stickers around bus stop,electronics,bus stop,lost
201,power bank,red power bank spotted at bus stop,electronics,bus stop,found
202,charger,black colored charger near classroom,electronics,classroom,found
203,textbook,blue colored textbook near auditorium,book,auditorium,lost
204,backpack,purple rubber backpack seen around computer lab,bag,computer lab,found
205,power bank,lost yellow power bank close to bus stop,electronics,bus stop,lost
206,earbuds,silver rubber earbuds with name written near auditorium,electronics,auditorium,found
207,headphones,headphones of black color found in bus stop,electronics,bus stop,lost
208,calculator,calculator of purple color found in canteen,electronics,canteen,lost
209,charger,silver plastic charger with stickers near computer lab,electronics,computer lab,lost
210,charger,lost silver charger close to parking area,electronics,parking area,found
211,phone,silver phone spotted at bus stop,phone,bus stop,lost
212,earbuds,earbuds located in auditorium area,electronics,auditorium,found
213,phone,red phone spotted at cafeteria,phone,cafeteria,found
214,textbook,red leather textbook seen around classroom,book,classroom,lost
215,id card,plastic id card with scratches around auditorium,document,auditorium,found
216,pen drive,brown pen drive spotted at playground,electronics,playground,lost
217,umbrella,brown rubber umbrella in good condition near auditorium,accessory,auditorium,found
218,laptop,found laptop with with scratches in playground,electronics,playground,found
219,laptop,found laptop with with logo in playground,electronics,playground,lost
220,earbuds,red earbuds spotted at parking area,electronics,parking area,found
221,keys,keys possibly left in corridor,accessory,corridor,lost
222,backpack,fabric backpack with logo around computer lab,bag,computer lab,found
223,charger,charger possibly left in auditorium,electronics,auditorium,found
224,handbag,fabric handbag with stickers around classroom,bag,classroom,lost
225,tablet,tablet of blue color found in playground,electronics,playground,lost
226,earbuds,earbuds located in classroom area,electronics,classroom,lost
227,handbag,plastic handbag slightly damaged around classroom,bag,classroom,found
228,id card,found id card with with name written in cafeteria,document,cafeteria,lost
229,textbook,blue colored textbook near cafeteria,book,cafeteria,lost
230,pen drive,blue metal pen drive with logo near auditorium,electronics,auditorium,lost
231,water bottle,water bottle possibly left in bus stop,accessory,bus stop,found
232,keys,found keys with with name written in parking area,accessory,parking area,found
233,charger,charger located in bus stop area,electronics,bus stop,found
234,keys,black plastic keys seen around canteen,accessory,canteen,lost
235,water bottle,water bottle located in classroom area,accessory,classroom,lost
236,tablet,white fabric tablet with two pockets near bus stop,electronics,bus stop,lost
237,water bottle,water bottle possibly left in playground,accessory,playground,lost
238,water bottle,found water bottle with with name written in bus stop,accessory,bus stop,found
239,charger,charger of green color found in library,electronics,library,found
240,water bottle,water bottle possibly left in corridor,accessory,corridor,lost
241,calculator,rubber calculator slightly damaged around cafeteria,electronics,cafeteria,lost
242,backpack,blue colored backpack near parking area,bag,parking area,found
243,wallet,wallet possibly left in auditorium,wallet,auditorium,lost
244,laptop,laptop possibly left in corridor,electronics,corridor,found
245,umbrella,umbrella located in auditorium area,accessory,auditorium,found
246,calculator,calculator possibly left in computer lab,electronics,computer lab,lost
247,keys,yellow colored keys near corridor,accessory,corridor,lost
248,calculator,calculator possibly left in library,electronics,library,found
249,glasses,glasses of grey color found in parking area,accessory,parking area,lost
250,wallet,leather wallet with zipper around canteen,wallet,canteen,lost
251,pen drive,found pen drive with with two pockets in cafeteria,electronics,cafeteria,lost
252,power bank,blue power bank spotted at canteen,electronics,canteen,found
253,calculator,plastic calculator with stickers around library,electronics,library,found
254,wallet,rubber wallet slightly damaged around playground,wallet,playground,lost
255,pen drive,pen drive of silver color found in cafeteria,electronics,cafeteria,lost
256,umbrella,white leather umbrella with name written near auditorium,accessory,auditorium,lost
257,pen drive,pen drive possibly left in classroom,electronics,classroom,found
258,pen drive,pen drive of green color found in computer lab,electronics,computer lab,lost
259,backpack,purple colored backpack near classroom,bag,classroom,lost
260,calculator,calculator located in computer lab area,electronics,computer lab,lost
261,power bank,power bank possibly left in cafeteria,electronics,cafeteria,found
262,notebook,leather notebook with scratches around playground,stationery,playground,found
263,textbook,blue colored textbook near classroom,book,classroom,lost
264,watch,green plastic watch with scratches near classroom,accessory,classroom,found
265,watch,watch located in canteen area,accessory,canteen,found
266,pen drive,purple pen drive spotted at bus stop,electronics,bus stop,found
267,power bank,power bank located in classroom area,electronics,classroom,found
268,calculator,red colored calculator near parking area,electronics,parking area,lost
269,phone,found phone with in good condition in playground,phone,playground,lost
270,laptop,laptop located in canteen area,electronics,canteen,found
271,wallet,wallet of purple color found in cafeteria,wallet,cafeteria,lost
272,handbag,found handbag with slightly damaged in library,bag,library,lost
273,tablet,tablet of grey color found in classroom,electronics,classroom,found
274,keys,yellow leather keys seen around library,accessory,library,lost
275,tablet,found tablet with with logo in corridor,electronics,corridor,lost
276,backpack,backpack possibly left in auditorium,bag,auditorium,lost
277,keys,grey colored keys near parking area,accessory,parking area,found
278,id card,yellow rubber id card seen around library,document,library,lost
279,laptop,found laptop with slightly damaged in parking area,electronics,parking area,found
280,laptop,found laptop with with scratches in auditorium,electronics,auditorium,found
281,id card,black colored id card near cafeteria,document,cafeteria,lost
282,headphones,lost white headphones close to computer lab,electronics,computer lab,lost
283,backpack,found backpack with slightly damaged in parking area,bag,parking area,found
284,phone,blue plastic phone seen around auditorium,phone,auditorium,found
285,laptop,white colored laptop near bus stop,electronics,bus stop,found
286,phone,grey plastic phone with two pockets near computer lab,phone,computer lab,found
287,watch,grey watch spotted at playground,accessory,playground,found
288,wallet,silver leather wallet slightly damaged near bus stop,wallet,bus stop,lost
289,keys,lost white keys close to computer lab,accessory,computer lab,found
290,phone,phone located in library area,phone,library,found
291,glasses,red leather glasses with scratches near library,accessory,library,lost
292,id card,id card possibly left in auditorium,document,auditorium,lost
293,pen drive,green plastic pen drive with logo near cafeteria,electronics,cafeteria,found
294,earbuds,lost yellow earbuds close to corridor,electronics,corridor,lost
295,water bottle,found water bottle with in good condition in corridor,accessory,corridor,found
296,tablet,fabric tablet slightly damaged around auditorium,electronics,auditorium,found
297,glasses,glasses of silver color found in computer lab,accessory,computer lab,found
298,tablet,white tablet spotted at auditorium,electronics,auditorium,lost
299,calculator,grey colored calculator near computer lab,electronics,computer lab,lost
300,water bottle,green plastic water bottle seen around classroom,accessory,classroom,lost
301,tablet,tablet possibly left in auditorium,electronics,auditorium,lost
302,keys,black leather keys seen around bus stop,accessory,bus stop,lost
303,id card,lost grey id card close to library,document,library,found
304,charger,grey metal charger slightly damaged near cafeteria,electronics,cafeteria,lost
305,id card,purple leather id card seen around auditorium,document,auditorium,found
306,calculator,white metal calculator slightly damaged near canteen,electronics,canteen,found
307,keys,blue metal keys slightly damaged near cafeteria,accessory,cafeteria,found
308,id card,id card of black color found in parking area,document,parking area,lost
309,headphones,red colored headphones near canteen,electronics,canteen,lost
310,charger,charger possibly left in cafeteria,electronics,cafeteria,found
311,handbag,black fabric handbag seen around playground,bag,playground,found
312,pen drive,found pen drive with with logo in bus stop,electronics,bus stop,lost
313,calculator,found calculator with with two pockets in canteen,electronics,canteen,lost
314,wallet,green plastic wallet seen around cafeteria,wallet,cafeteria,found
315,notebook,notebook located in parking area area,stationery,parking area,found
316,handbag,handbag of green color found in computer lab,bag,computer lab,lost
317,headphones,headphones possibly left in canteen,electronics,canteen,lost
318,water bottle,water bottle located in computer lab area,accessory,computer lab,found
319,keys,found keys with with zipper in playground,accessory,playground,found
320,pen drive,lost grey pen drive close to canteen,electronics,canteen,lost
321,umbrella,lost brown umbrella close to classroom,accessory,classroom,found
322,id card,green metal id card seen around library,document,library,lost
323,backpack,silver rubber backpack with scratches near cafeteria,bag,cafeteria,found
324,wallet,purple wallet spotted at canteen,wallet,canteen,lost
325,charger,charger of purple color found in corridor,electronics,corridor,found
326,umbrella,lost black umbrella close to bus stop,accessory,bus stop,lost
327,earbuds,earbuds of red color found in parking area,electronics,parking area,found
328,tablet,tablet of purple color found in auditorium,electronics,auditorium,found
329,power bank,found power bank with with scratches in parking area,electronics,parking area,lost
330,textbook,found textbook with with name written in library,book,library,found
331,textbook,found textbook with in good condition in bus stop,book,bus stop,lost
332,glasses,fabric glasses with zipper around playground,accessory,playground,found
333,glasses,metal glasses with stickers around auditorium,accessory,auditorium,lost
334,notebook,notebook located in cafeteria area,stationery,cafeteria,lost
335,umbrella,white rubber umbrella seen around computer lab,accessory,computer lab,found
336,tablet,lost green tablet close to bus stop,electronics,bus stop,found
337,keys,lost white keys close to parking area,accessory,parking area,found
338,earbuds,earbuds located in parking area area,electronics,parking area,found
339,earbuds,found earbuds with with zipper in cafeteria,electronics,cafeteria,lost
340,charger,rubber charger with two pockets around corridor,electronics,corridor,lost
341,phone,fabric phone with two pockets around playground,phone,playground,lost
342,power bank,power bank located in auditorium area,electronics,auditorium,found
343,textbook,lost red textbook close to computer lab,book,computer lab,lost
344,phone,brown leather phone seen around corridor,phone,corridor,lost
345,notebook,white colored notebook near playground,stationery,playground,lost
346,backpack,white colored backpack near playground,bag,playground,found
347,calculator,purple colored calculator near bus stop,electronics,bus stop,lost
348,glasses,brown fabric glasses with scratches near parking area,accessory,parking area,lost
349,keys,lost green keys close to library,accessory,library,lost
350,charger,black rubber charger with scratches near playground,electronics,playground,found
351,textbook,grey metal textbook with logo near library,book,library,lost
352,wallet,silver wallet spotted at playground,wallet,playground,lost
353,charger,silver charger spotted at auditorium,electronics,auditorium,lost
354,id card,red metal id card with logo near playground,document,playground,found
355,pen drive,plastic pen drive with scratches around cafeteria,electronics,cafeteria,found
356,id card,found id card with with two pockets in canteen,document,canteen,found
357,power bank,found power bank with with stickers in canteen,electronics,canteen,lost
358,watch,lost grey watch close to bus stop,accessory,bus stop,found
359,phone,phone possibly left in classroom,phone,classroom,lost
360,handbag,handbag of purple color found in classroom,bag,classroom,lost
361,umbrella,umbrella possibly left in auditorium,accessory,auditorium,found
362,umbrella,black fabric umbrella seen around parking area,accessory,parking area,found
363,tablet,found tablet with slightly damaged in classroom,electronics,classroom,lost
364,charger,brown fabric charger seen around bus stop,electronics,bus stop,lost
365,glasses,glasses located in cafeteria area,accessory,cafeteria,found
366,tablet,blue colored tablet near library,electronics,library,found
367,power bank,power bank possibly left in library,electronics,library,lost
368,laptop,grey colored laptop near parking area,electronics,parking area,lost
369,headphones,headphones possibly left in playground,electronics,playground,found
370,tablet,grey plastic tablet with two pockets near auditorium,electronics,auditorium,lost
371,backpack,fabric backpack with zipper around library,bag,library,lost
372,id card,plastic id card with logo around corridor,document,corridor,found
373,backpack,yellow colored backpack near canteen,bag,canteen,lost
374,umbrella,lost silver umbrella close to bus stop,accessory,bus stop,found
375,tablet,tablet located in bus stop area,electronics,bus stop,found
376,tablet,tablet located in playground area,electronics,playground,found
377,tablet,found tablet with with two pockets in canteen,electronics,canteen,lost
378,laptop,laptop possibly left in computer lab,electronics,computer lab,found
379,charger,charger located in auditorium area,electronics,auditorium,lost
380,backpack,found backpack with with two pockets in corridor,bag,corridor,found
381,handbag,silver plastic handbag seen around bus stop,bag,bus stop,lost
382,water bottle,rubber water bottle in good condition around canteen,accessory,canteen,lost
383,keys,purple keys spotted at library,accessory,library,found
384,handbag,lost white handbag close to parking area,bag,parking area,found
385,wallet,blue wallet spotted at playground,wallet,playground,lost
386,calculator,calculator located in parking area area,electronics,parking area,lost
387,textbook,blue fabric textbook with scratches near classroom,book,classroom,lost
388,umbrella,blue fabric umbrella seen around auditorium,accessory,auditorium,lost
389,calculator,lost grey calculator close to cafeteria,electronics,cafeteria,lost
390,phone,purple colored phone near library,phone,library,found
391,backpack,brown leather backpack seen around library,bag,library,found
392,phone,phone possibly left in computer lab,phone,computer lab,lost
393,charger,fabric charger with logo around cafeteria,electronics,cafeteria,found
394,glasses,glasses of black color found in bus stop,accessory,bus stop,found
395,keys,brown plastic keys seen around library,accessory,library,lost
396,calculator,purple colored calculator near bus stop,electronics,bus stop,found
397,tablet,tablet located in library area,electronics,library,lost
398,calculator,blue colored calculator near parking area,electronics,parking area,lost
399,tablet,green tablet spotted at parking area,electronics,parking area,found
400,earbuds,brown earbuds spotted at computer lab,electronics,computer lab,lost
401,watch,watch located in auditorium area,accessory,auditorium,lost
402,watch,watch of brown color found in cafeteria,accessory,cafeteria,found
403,earbuds,silver plastic earbuds seen around library,electronics,library,lost
404,watch,found watch with in good condition in auditorium,accessory,auditorium,found
405,water bottle,found water bottle with with name written in classroom,accessory,classroom,lost
406,charger,charger possibly left in auditorium,electronics,auditorium,lost
407,handbag,handbag possibly left in playground,bag,playground,found
408,calculator,silver plastic calculator seen around corridor,electronics,corridor,found
409,laptop,blue laptop spotted at bus stop,electronics,bus stop,lost
410,notebook,notebook of grey color found in corridor,stationery,corridor,lost
411,umbrella,umbrella located in classroom area,accessory,classroom,found
412,headphones,headphones located in computer lab area,electronics,computer lab,lost
413,handbag,handbag of grey color found in library,bag,library,lost
414,backpack,backpack located in cafeteria area,bag,cafeteria,found
415,textbook,found textbook with with stickers in corridor,book,corridor,found
416,handbag,blue colored handbag near parking area,bag,parking area,found
417,wallet,wallet possibly left in computer lab,wallet,computer lab,found
418,umbrella,umbrella located in corridor area,accessory,corridor,lost
419,backpack,lost green backpack close to canteen,bag,canteen,lost
420,tablet,tablet of yellow color found in computer lab,electronics,computer lab,lost
421,phone,black metal phone slightly damaged near playground,phone,playground,lost
422,water bottle,blue plastic water bottle seen around classroom,accessory,classroom,lost
423,glasses,glasses possibly left in bus stop,accessory,bus stop,found
424,headphones,red headphones spotted at library,electronics,library,found
425,charger,silver charger spotted at classroom,electronics,classroom,lost
426,tablet,tablet possibly left in cafeteria,electronics,cafeteria,found
427,earbuds,silver fabric earbuds with logo near canteen,electronics,canteen,found
428,laptop,yellow colored laptop near classroom,electronics,classroom,found
429,phone,found phone with with logo in canteen,phone,canteen,found
430,laptop,laptop located in parking area area,electronics,parking area,lost
431,keys,keys of blue color found in bus stop,accessory,bus stop,found
432,handbag,yellow handbag spotted at playground,bag,playground,found
433,backpack,grey leather backpack with stickers near canteen,bag,canteen,lost
434,power bank,power bank possibly left in cafeteria,electronics,cafeteria,found
435,wallet,silver leather wallet with logo near auditorium,wallet,auditorium,lost
436,earbuds,found earbuds with in good condition in library,electronics,library,lost
437,textbook,textbook possibly left in cafeteria,book,cafeteria,lost
438,phone,phone possibly left in auditorium,phone,auditorium,lost
439,notebook,green colored notebook near cafeteria,stationery,cafeteria,lost
440,headphones,headphones of black color found in corridor,electronics,corridor,found
441,pen drive,pen drive located in cafeteria area,electronics,cafeteria,lost
442,handbag,black colored handbag near computer lab,bag,computer lab,lost
443,handbag,green colored handbag near playground,bag,playground,lost
444,charger,charger possibly left in playground,electronics,playground,lost
445,notebook,grey notebook spotted at computer lab,stationery,computer lab,found
446,id card,white id card spotted at cafeteria,document,cafeteria,lost
447,phone,rubber phone in good condition around computer lab,phone,computer lab,found
448,keys,keys located in bus stop area,accessory,bus stop,found
449,pen drive,found pen drive with slightly damaged in playground,electronics,playground,lost
450,phone,found phone with with scratches in bus stop,phone,bus stop,found
451,pen drive,lost blue pen drive close to library,electronics,library,lost
452,textbook,textbook of black color found in auditorium,book,auditorium,found
453,pen drive,green fabric pen drive seen around canteen,electronics,canteen,lost
454,notebook,blue notebook spotted at canteen,stationery,canteen,found
455,pen drive,green pen drive spotted at cafeteria,electronics,cafeteria,found
456,phone,blue plastic phone with zipper near bus stop,phone,bus stop,found
457,calculator,red leather calculator with two pockets near cafeteria,electronics,cafeteria,lost
458,notebook,yellow notebook spotted at playground,stationery,playground,found
459,headphones,metal headphones with logo around auditorium,electronics,auditorium,found
460,backpack,backpack possibly left in bus stop,bag,bus stop,lost
461,keys,fabric keys with zipper around parking area,accessory,parking area,found
462,watch,watch possibly left in canteen,accessory,canteen,found
463,tablet,green colored tablet near library,electronics,library,lost
464,headphones,found headphones with with zipper in canteen,electronics,canteen,found
465,calculator,lost grey calculator close to parking area,electronics,parking area,found
466,id card,blue plastic id card with two pockets near computer lab,document,computer lab,lost
467,textbook,rubber textbook with zipper around library,book,library,found
468,id card,silver colored id card near classroom,document,classroom,lost
469,keys,keys of red color found in classroom,accessory,classroom,found
470,calculator,blue calculator spotted at playground,electronics,playground,lost
471,power bank,power bank possibly left in library,electronics,library,found
472,charger,found charger with with name written in parking area,electronics,parking area,lost
473,notebook,red notebook spotted at computer lab,stationery,computer lab,lost
474,umbrella,umbrella located in library area,accessory,library,found
